"","JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
"11232",NA,NA,84,NA,NA,1,1,1,15,0,1007588,8303
"11234",9,105,37,1,4760,2,3,1,19,7000,1007588,8303
"11235",NA,NA,65,1,7855,1,4,1,24,8000,1007588,8303
"11341",2,76,53,1,6050,1,1,1,1,22800,1007588,11104
"11534",1,91,39,1,5000,2,4,1,18,33600,1007588,8303
"11535",NA,NA,19,9,9920,1,5,1,16,0,1007588,8303
"11536",NA,NA,14,NA,NA,2,5,1,11,NA,1007588,8303
"11537",1,90,48,1,220,1,3,1,19,58000,1007588,8303
"11650",11,NA,39,6,2630,2,5,1,21,13000,1007588,11106
"11670",11,NA,66,1,4040,1,3,1,17,60100,1007588,8303
"11796",NA,NA,22,NA,NA,2,5,1,19,2000,1007588,8303
"11879",1,94,64,7,3040,1,1,1,23,190400,1007588,8303
"11880",1,145,61,7,3040,2,1,1,23,154400,1007588,8303
"11881",1,204,27,1,4110,1,5,1,19,12000,1007588,8303
"11882",1,145,23,1,3645,2,5,1,19,33600,1007588,8303
"11906",NA,NA,65,NA,NA,1,3,1,21,43400,1007588,8303
"11907",NA,NA,66,5,1530,1,3,1,21,23400,1007588,8303
"11908",1,80,31,1,3600,1,3,1,9,35000,1007588,8303
"12106",1,70,32,1,6440,1,5,1,18,91000,1007588,8303
"12107",1,96,27,1,4130,1,5,1,19,26200,1007588,8303
"12108",2,120,25,1,4720,1,5,1,19,46300,1007588,8303
"12131",NA,NA,34,NA,NA,1,5,1,22,0,1007588,11103
"12260",NA,NA,61,NA,NA,2,3,1,13,13200,1007588,8303
"12357",1,109,58,1,10,1,1,1,21,514000,1007588,11106
"12358",1,106,49,1,120,2,1,1,18,110000,1007588,11106
"12359",1,73,21,1,5620,1,5,1,16,4500,1007588,11106
"12680",1,86,28,1,2310,2,5,1,22,47000,1007588,8303
"12681",9,98,26,1,2200,1,5,1,21,35000,1007588,8303
"12771",NA,NA,24,2,4600,2,5,1,19,6000,1007588,8303
"12961",NA,NA,67,2,2310,2,5,1,22,0,1007588,8303
"13560",11,NA,63,6,430,1,1,1,19,41500,1007588,8303
"13561",11,NA,59,6,2600,2,1,1,18,9400,1007588,8303
"13666",NA,NA,78,NA,NA,1,1,1,21,182600,1007588,11106
"13667",NA,NA,76,NA,NA,2,1,1,20,9500,1007588,11106
"13681",1,70,36,1,6320,1,4,1,16,70000,1007588,11104
"13682",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11104
"14165",1,88,60,7,430,1,1,1,19,192000,1007588,11106
"14166",NA,NA,59,1,430,2,1,1,19,0,1007588,11106
"14276",1,81,48,1,1530,2,1,1,21,35000,1007588,11103
"14277",1,217,52,3,7700,1,1,1,19,88000,1007588,11103
"14278",NA,NA,21,NA,NA,1,5,1,19,0,1007588,11103
"14279",NA,NA,16,NA,NA,1,5,1,13,0,1007588,11103
"14692",NA,NA,48,1,6050,2,3,1,13,4200,1007588,11103
"14693",NA,NA,9,NA,NA,2,5,1,7,NA,1007588,11103
"14694",NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103
"14695",NA,NA,47,1,6050,1,5,1,9,18800,1007588,11103
"15356",1,97,50,1,430,1,5,2,18,76001,1007588,11106
"15357",1,152,48,1,4510,2,5,1,20,58000,1007588,11106
"15435",11,NA,43,6,4600,2,1,1,20,36000,1007588,11103
"15436",1,94,43,1,4700,1,1,1,21,41000,1007588,11103
"15437",NA,NA,13,NA,NA,2,5,1,11,NA,1007588,11103
"15438",NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103
"15893",1,64,60,1,7000,1,1,1,15,40000,1007588,11103
"15894",1,93,59,1,4610,2,1,1,9,28000,1007588,11103
"15895",NA,NA,35,1,5520,2,5,1,16,14000,1007588,11103
"15896",1,85,23,1,4720,2,5,1,19,7000,1007588,11103
"15897",NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11103
"15898",NA,NA,38,9,9920,1,1,2,14,0,1007588,11103
"15966",1,85,24,1,9620,2,5,1,19,35000,1007588,11106
"15967",11,NA,32,1,5120,1,4,2,19,56000,1007588,11106
"15968",NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106
"15969",NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11106
"16048",11,NA,58,6,2000,2,3,1,22,31000,1007588,11104
"16210",1,54,58,3,3800,2,5,1,20,42000,1007588,11103
"16733",NA,NA,25,4,2540,1,5,1,21,30000,1007588,8303
"16734",NA,NA,19,1,9610,1,5,1,19,2500,1007588,8303
"16735",NA,NA,19,NA,NA,1,5,1,19,0,1007588,8303
"16791",1,68,50,1,4760,2,1,1,16,45000,1007588,8303
"16792",1,97,41,7,9130,1,1,1,15,14000,1007588,8303
"16793",1,157,20,1,5620,1,5,1,16,8000,1007588,8303
"16860",NA,NA,49,NA,NA,2,1,1,22,48000,1007588,11106
"16861",1,95,67,6,4700,1,1,1,21,21100,1007588,11106
"16862",NA,NA,12,NA,NA,1,5,1,8,NA,1007588,11106
"16863",NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106
"17374",1,152,59,2,7010,2,3,1,19,58000,1007588,11106
"17375",NA,NA,40,NA,NA,2,1,2,13,0,1007588,11106
"17376",1,152,22,1,3320,2,5,1,19,10000,1007588,11106
"17377",NA,NA,21,NA,NA,2,5,1,14,0,1007588,11106
"17378",NA,NA,19,9,9920,2,5,1,16,0,1007588,11106
"17379",1,66,60,1,4220,1,3,1,12,50000,1007588,11106
"17518",NA,NA,80,NA,NA,1,1,1,24,115000,1007588,8303
"17519",NA,NA,76,NA,NA,2,1,1,19,20000,1007588,8303
"17534",1,91,42,3,2100,1,1,1,24,145000,1007588,11104
"17535",NA,NA,35,NA,NA,2,1,1,21,500,1007588,11104
"17536",NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104
"17537",NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
"17538",NA,NA,5,NA,NA,1,5,1,2,NA,1007588,11104
"17544",NA,NA,57,NA,NA,2,2,1,21,49400,1007588,8303
"17591",NA,NA,28,1,6050,2,1,2,16,0,1007588,11103
"17592",1,87,26,1,9640,1,1,2,14,22000,1007588,11103
"17593",NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103
"17594",NA,NA,5,NA,NA,1,5,1,1,NA,1007588,11103
"17599",1,90,42,3,2310,2,3,1,22,99000,1007588,11104
"17763",NA,NA,69,NA,NA,2,3,1,21,9600,1007588,8303
"17805",NA,NA,72,NA,NA,2,1,1,18,33300,1007588,11104
"17806",NA,NA,72,NA,NA,1,1,1,19,34000,1007588,11104
"17835",NA,NA,20,1,4130,1,5,1,19,3500,1007588,8303
"17920",NA,NA,41,6,4920,2,1,1,19,21000,1007588,11104
"17921",1,106,43,1,4700,1,1,1,19,115000,1007588,11104
"17922",1,96,24,1,6240,1,5,1,19,28400,1007588,11104
"17923",NA,NA,16,NA,NA,1,5,1,14,0,1007588,11104
"18033",1,68,47,1,4810,2,1,1,20,200100,1007588,11106
"18034",1,91,45,7,220,1,1,1,19,160000,1007588,11106
"18035",NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11106
"18195",1,85,64,1,4720,2,3,1,18,32000,1007588,11103
"18196",1,93,24,1,7320,1,5,1,16,45000,1007588,11103
"18197",NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11103
"18669",NA,NA,72,NA,NA,2,1,1,21,9600,1007588,11103
"18670",NA,NA,73,NA,NA,1,1,1,21,46900,1007588,11103
"18681",NA,NA,47,3,3850,1,1,1,19,42000,1007588,11106
"18682",1,90,40,1,8740,2,1,1,18,60000,1007588,11106
"18683",NA,NA,10,NA,NA,2,5,1,7,NA,1007588,11106
"18837",NA,NA,63,NA,NA,2,1,1,21,20000,1007588,11103
"18838",1,73,52,6,2000,2,1,1,21,40000,1007588,11103
"18895",1,96,41,6,4230,2,1,1,16,12000,1007588,8303
"18896",11,NA,56,6,205,1,1,1,4,21000,1007588,8303
"18897",NA,NA,16,NA,NA,2,5,1,13,0,1007588,8303
"18898",NA,NA,6,NA,NA,1,5,1,3,NA,1007588,8303
"18995",1,96,33,1,4510,2,1,2,18,1000,1007588,11106
"18996",1,81,29,1,220,1,1,1,19,88000,1007588,11106
"18997",NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,11106
"18998",NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
"19414",2,146,18,1,4720,2,5,1,18,2000,1007588,8303
"19531",1,83,22,1,850,2,5,1,21,40030,1007588,11104
"19532",NA,NA,21,NA,NA,1,5,1,19,0,1007588,11104
"19533",1,83,21,1,4030,2,5,1,19,9300,1007588,11104
"19689",NA,NA,19,1,5120,2,5,1,16,2700,1007588,8303
"19813",NA,NA,66,NA,NA,1,1,1,19,10000,1007588,8303
"19814",NA,NA,67,NA,NA,2,1,1,22,47000,1007588,8303
"19929",1,89,21,5,7140,1,5,1,18,28030,1007588,11106
"19987",1,95,32,1,1006,1,5,1,21,99000,1007588,8303
"19988",1,110,33,1,800,2,5,1,21,79000,1007588,8303
"19989",1,119,28,1,800,1,5,1,21,55000,1007588,8303
"20138",NA,NA,94,NA,NA,2,2,1,15,24000,1007588,11106
"20209",NA,NA,20,2,9620,1,5,1,19,8000,1007588,11106
"20301",NA,NA,88,NA,NA,2,2,1,16,12200,1007588,8303
"20511",1,30,58,1,9140,1,1,1,15,26000,1007588,11103
